Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_matrix,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,probabilities,problem_id,processing_pattern,sigma,trial_weight_con,trial_weight_exp,trial_weight,trial_weight_con_exclude,trial_weight_exp_exclude,trial_weight_exclude,strategy,km_strategy,km_WADD,km_SAT_TTB,km_TTB_SAT,km_TTB,cluster_centers,cluster_points
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,1.0,6.0,91.59999999999998,"[0.0, 0.0, 91.60000000000092, 0.0, 0.0, 0.0]",1.4334449625989796,"[0.0, 0.0, 1.4334449625989703, 0.0, 0.0, 0.0]","[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]",85.59999999999998,"[0.0, 0.0, 85.60000000000058, 0.0, 0.0, 0.0]",1.3395511877562511,"[0.0, 0.0, 1.3395511877562603, 0.0, 0.0, 0.0]",63.90200000000002,"[0.029999999999999992, 0.01, 0.77, 0.19]",Z6igLUgOZ1o22OJ,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,1.2266666666666666,1.2777777777777777,1.2517006802721091,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.9194, 1.0, 1.0, 0.9883, 0.701, 0.3333, 0.1149, 1.0, 0.954, 0.4023, 0.023, 0.0, 0.0, 0.6094, 0.54, 0.1149, 0.0, 0.0, 0.0], [1.0, 0.828, 0.5723, 0.2372, 0.0, -0.0, 0.2186, 0.07904, 0.00465, -0.0, -0.0, -0.0, 0.0093, 0.0093, -0.0, 0.00465, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0, 0.9253, 0.7866, 1.0, 1.0, 0.3894, 0.1686, 0.03745, 0.003746, 0.1461, 0.0749, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0, 1.0, 0.74, 0.251, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[0.10876, 0.2688, 0.3337, 0.2888]"
0.021,0.0,0.0,0.0,0.979,0.0,0.3,0.0182091195830184,0.0765989377834467,1.0,6.4510000000000005,95.44000000000004,"[95.4400000000013, 0.0, 0.0, 0.0, 0.0, 95.44000000000003]",1.4935369784983257,"[1.493536978498306, 0.0, 0.0, 0.0, 0.0, 1.493536978498326]","[[-90, 14, -114, -41, 210, 42], [-91, 101, 22, 57, 105, 86], [94, -30, 150, -10, -154, 52], [-78, -66, 54, 90, -24, 34]]",88.98900000000003,"[88.96502553626271, 0.0, 0.0, 0.0, 0.0, 90.1066666666667]",1.3925855215799192,"[1.392210346096536, 0.0, 0.0, 0.0, 0.0, 1.4100758453047897]",63.90200000000002,"[0.01999999999999999, 0.01, 0.47, 0.5]",VHZfp8VcgwqWdru,-0.6583809523809523,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,1.2266666666666666,1.2777777777777777,1.2517006802721091,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT']",0.0,0.4,0.6,0.0,,
0.0,0.0,0.04,0.0,0.96,0.0,0.3,0.03630940665154952,0.08997611678004534,4.0,4.574,55.81399999999999,"[55.517916666666196, 62.92000000000004, 0.0, 0.0, 0.0, 0.0]",0.8734311915120028,"[0.8687977945395581, 0.9846327188507402, 0.0, 0.0, 0.0, 0.0]","[[-101, -31, 34, -10, 30, -23], [-98, -42, -2, 84, 60, -107], [65, -46, -22, -61, -87, 97], [84, 85, 84, 93, 18, -17]]",37.518,"[36.79291666666601, 54.92000000000003, 0.0, 0.0, 0.0, 0.0]",0.5871177740915777,"[0.5757709722178759, 0.8594410190604368, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.06, 0.26, 0.14, 0.54]",3uXiz4V3sUrSmY9,-0.6537333333333334,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,0.8799999999999999,1.0277777777777777,0.9523809523809524,"['TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB']",0.0,0.9,0.1,0.0,,
0.0,0.0,0.172,0.16399999999999998,0.664,0.0,0.3,0.017219444444444447,0.1875,4.0,3.989,68.86,"[68.86000000000045, 68.86000000000011, 68.86000000000008, 0.0, 0.0, 0.0]",1.0775875559450407,"[1.0775875559450343, 1.0775875559450392, 1.0775875559450396, 0.0, 0.0, 0.0]","[[-69, 74, -146, 18, -66, -39], [-59, 123, 55, -117, -17, -38], [32, 53, 83, 32, -9, -48], [-24, -104, 109, 21, 25, 52]]",52.90400000000002,"[53.95036144578355, 56.534418604651165, 44.859999999999914, 0.0, 0.0, 0.0]",0.82789271071328,"[0.844267181712356, 0.8847049952216084, 0.7020124565741274, 0.0, 0.0, 0.0]",63.90200000000002,"[0.06, 0.07, 0.81, 0.06]",si1lNmExwYp0qHd,-1.0,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,0.8799999999999999,1.0277777777777777,0.9523809523809524,"['TTB_SAT', 'TTB', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT']","['SAT_TTB', 'TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'TTB']",0.0,0.5,0.0,0.5,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.015491130007558581,0.098523891723356,4.0,6.157,77.4,"[77.39999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",1.2112296954711899,"[1.2112296954711967, 0.0, 0.0, 0.0, 0.0, 0.0]","[[61, -42, -94, -52, -163, 53], [85, -65, -84, 88, 40, 87], [53, -6, 64, -32, 83, -117], [101, 67, 39, -108, -29, 8]]",52.771999999999984,"[52.77200000000092, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8258270476667398,"[0.8258270476667512, 0.0, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.51, 0.17, 0.01, 0.31]",55wGWrG0AsulSFG,-0.7842476190476191,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,0.8799999999999999,1.0277777777777777,0.9523809523809524,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'TTB', 'TTB', 'TTB_SAT', 'TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT']",0.0,0.1,0.4,0.5,,
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.015023705881660422,0.012671722435489915,1.0,12.181,52.13,"[52.129999999999235, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0181044079448471,"[1.0181044079448593, 0.0, 0.0, 0.0, 0.0, 0.0]","[[1, 65, 8, 6, 47, 37], [23, -138, 57, 1, -97, -73], [-83, -200, 54, 89, 118, -117], [-32, 87, 70, -56, -19, -5]]",39.94899999999999,"[39.948999999999806, 0.0, 0.0, 0.0, 0.0, 0.0]",0.780208190926313,"[0.7802081909263175, 0.0, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.15, 0.13, 0.43, 0.29]",aA237K2hoPccOCz,-0.4642952380952381,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,1.0666666666666669,1.0277777777777777,1.0476190476190477,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD', 'WADD']",1.0,0.0,0.0,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.003060601851851852,0.08296708333333333,1.0,8.747,40.94000000000001,"[40.940000000000005, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7995625256332636,"[0.7995625256332823, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-85, 44, -96, -82, -36, 62], [-103, 20, 12, 8, 1, -43], [41, -70, 89, 62, 54, 43], [19, -133, -24, 127, 45, 36]]",32.193000000000005,"[32.192999999999444, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6287326914438607,"[0.628732691443853, 0.0, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.14, 0.45, 0.05, 0.36]",l6dGWbHa5ETDOcj,-0.9557063492063492,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,1.0666666666666669,1.0277777777777777,1.0476190476190477,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",0.0,0.0,1.0,0.0,,
0.0,0.0,0.038,0.821,0.141,0.0,3.2,0.0009944444444444443,0.1875,1.0,5.8210000000000015,79.15,"[79.14999999999979, 79.15000000000005, 79.15000000000101, 0.0, 0.0, 0.0]",1.5458078628205385,"[1.5458078628205383, 1.5458078628205383, 1.5458078628205383, 0.0, 0.0, 0.0]","[[59, -89, 21, -2, 37, 133], [-18, -27, 46, 2, -14, -42], [59, -48, -70, -34, 54, 132], [138, -20, 55, -19, -23, -19]]",73.329,"[74.1499999999998, 74.15000000000005, 73.15000000000099, 0.0, 0.0, 0.0]",1.432123117786068,"[1.4481573345311767, 1.448157334531181, 1.428627228873305, 0.0, 0.0, 0.0]",51.20299999999999,"[0.13, 0.2, 0.22, 0.45]",8EHleEowa3Bcw0G,-1.0,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,1.0666666666666669,1.0277777777777777,1.0476190476190477,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB_SAT', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0041160927456382005,0.08198466683884298,1.0,8.611,23.27,"[23.270000000000355, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3641513567650465,"[0.3641513567650397, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-62, -42, -7, -47, -26, -14], [-13, -71, 120, -32, 98, -95], [-68, 29, -35, -55, -23, 22], [23, 4, 10, 112, 48, -82]]",14.659000000000004,"[14.65900000000031, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2293981409032581,"[0.2293981409032572, 0.0, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.59, 0.22, 0.02, 0.17]",EDYV3TvmyqJrQOZ,-0.9226666666666666,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,1.2266666666666666,1.2777777777777777,1.2517006802721091,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'WADD', 'TTB_SAT']",0.1,0.0,0.9,0.0,,
0.002,0.0,0.0,0.0,0.998,0.0,3.2,0.01640223251028806,0.04338773533950617,1.0,8.632,56.45000000000002,"[56.44999999999908, 0.0, 0.0, 0.0, 0.0, 56.45]",1.102474464386852,"[1.102474464386867, 0.0, 0.0, 0.0, 0.0, 1.1024744643868525]","[[7, -95, 8, -33, 43, -148], [36, -62, 14, 74, 0, 49], [-64, -38, 68, 51, -33, -99], [-18, -90, 7, 63, -23, -100]]",47.81800000000001,"[47.81673346693331, 0.0, 0.0, 0.0, 0.0, 48.45]",0.9338905923481048,"[0.9338658568234992, 0.0, 0.0, 0.0, 0.0, 0.9462336191238796]",51.20299999999999,"[0.06, 0.31, 0.35, 0.28]",U6NalRd3JS7aHgM,-0.6967960317460318,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,1.0666666666666669,1.0277777777777777,1.0476190476190477,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",0.0,0.0,1.0,0.0,,
0.0,0.0,0.6579999999999999,0.0,0.342,0.0,0.3,0.06691944444444446,0.1875,4.0,2.382,91.55008000000002,"[119.58000000000102, 76.98133738601886, 0.0, 0.0, 0.0, 0.0]",1.4326637663922883,"[1.8713029326155581, 1.2046780599358025, 0.0, 0.0, 0.0, 0.0]","[[-87, -59, 53, -49, -157, -46], [-139, 11, 115, -40, -204, -116], [-51, -61, -54, 52, 84, -15], [-101, -17, 152, -16, 48, 138]]",82.02208000000002,"[107.54491228070269, 68.75641337386064, 0.0, 0.0, 0.0, 0.0]",1.2835604519420365,"[1.682966296527525, 1.0759665327197845, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.09, 0.19, 0.08, 0.64]",WdVOkNPSiCkiKDf,-1.0,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,0.8799999999999999,1.0277777777777777,0.9523809523809524,"['TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT']","['SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,0.8,0.0,0.2,,
0.0,0.0,0.7659999999999999,0.0,0.234,0.0,3.2,0.045361111111111116,0.1875,4.0,3.0210000000000004,62.65704999999999,"[21.28000000000003, 75.29703655352564, 0.0, 0.0, 0.0, 0.0]",1.2236988067105443,"[0.4156006483995078, 1.4705590796149606, 0.0, 0.0, 0.0, 0.0]","[[59, -89, 21, -2, 37, 133], [-18, -27, 46, 2, -14, -42], [59, -48, -70, -34, 54, 132], [138, -20, 55, -19, -23, -19]]",50.57304999999999,"[4.732991452991432, 64.5764099216718, 0.0, 0.0, 0.0, 0.0]",0.9876970099408238,"[0.0924358231547264, 1.2611841087762563, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.13, 0.2, 0.22, 0.45]",8EHleEowa3Bcw0G,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,0.8266666666666667,0.6666666666666666,0.7482993197278911,"['TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.598,0.0,0.402,0.0,0.3,0.06978333333333334,0.1875,4.0,2.305,84.23328999999998,"[82.31092039800957, 85.52558528428031, 0.0, 0.0, 0.0, 0.0]",1.3181635942537009,"[1.288080504491405, 1.3383866746624538, 0.0, 0.0, 0.0, 0.0]","[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]",75.01328999999998,"[68.8780845771141, 79.1376254180596, 0.0, 0.0, 0.0, 0.0]",1.1738801602453754,"[1.0778705608136592, 1.2384217304319107, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.029999999999999992, 0.01, 0.77, 0.19]",Z6igLUgOZ1o22OJ,-1.0,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,0.8799999999999999,1.0277777777777777,0.9523809523809524,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.066,0.0,0.934,0.0,3.2,0.008796141975308643,0.12577170138888888,4.0,6.516,15.96534,"[17.108351177730235, -0.20999999999999552, 0.0, 0.0, 0.0, 0.0]",0.3118047770638441,"[0.3341279061330462, -0.004101322188152954, 0.0, 0.0, 0.0, 0.0]","[[82, 45, 5, -120, -5, -22], [-3, -132, 45, 78, 5, 2], [-12, -14, 14, -43, 10, 89], [-114, 72, 25, 56, 74, 101]]",-10.09866,"[-9.86381156316922, -13.422121212121223, 0.0, 0.0, 0.0, 0.0]",-0.1972278968029217,"[-0.19264128201802838, -0.2621354454254868, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.31, 0.33, 0.09, 0.27]",aIfvrznIQLqTBd0,-0.8697952380952381,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,0.8266666666666667,0.6666666666666666,0.7482993197278911,"['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",0.0,0.2,0.8,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.007825138886719875,0.07334041894217895,1.0,8.338,69.91999999999997,"[69.9199999999987, 0.0, 0.0, 0.0, 0.0, 0.0]",1.3655449875983832,"[1.365544987598389, 0.0, 0.0, 0.0, 0.0, 0.0]","[[-16, 29, 52, 15, -102, 114], [68, 33, 81, -31, 134, 13], [36, -22, 1, 47, 23, -38], [-171, -81, 65, 13, 28, -35]]",61.58199999999997,"[61.58199999999874, 0.0, 0.0, 0.0, 0.0, 0.0]",1.202702966623049,"[1.2027029666230573, 0.0, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.05, 0.47, 0.28, 0.2]",KKfFP00BlY0FyTD,-0.5952484126984128,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,1.0666666666666669,1.0277777777777777,1.0476190476190477,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'WADD', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'WADD']",0.2,0.0,0.8,0.0,,
0.0,0.0,0.688,0.0,0.312,0.0,3.2,0.06976388888888889,0.1875,4.0,2.277,32.81437000000001,"[41.26743589743591, 28.98100290697672, 0.0, 0.0, 0.0, 0.0]",0.6408681131964925,"[0.8059573833063663, 0.5660020488443401, 0.0, 0.0, 0.0, 0.0]","[[1, 65, 8, 6, 47, 37], [23, -138, 57, 1, -97, -73], [-83, -200, 54, 89, 118, -117], [-32, 87, 70, -56, -19, -5]]",23.70637000000001,"[29.152051282051332, 21.236816860465048, 0.0, 0.0, 0.0, 0.0]",0.4629879108645978,"[0.5693426416821534, 0.4147572771217506, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.15, 0.13, 0.43, 0.29]",aA237K2hoPccOCz,-1.0,75.0,1.0097087378640777,1.0101010101010102,1.00990099009901,0.8266666666666667,0.6666666666666666,0.7482993197278911,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.846,0.0,0.154,0.0,0.3,0.06971388888888891,0.1875,4.0,2.345,76.20376999999998,"[106.75, 70.64334515366492, 0.0, 0.0, 0.0, 0.0]",1.1925099370911707,"[1.6705267440768736, 1.105495057332551, 0.0, 0.0, 0.0, 0.0]","[[26, 3, -7, -50, 62, 37], [170, -11, -37, 11, -44, 59], [-158, -3, -108, -8, -23, -72], [5, 21, 96, 148, 8, -72]]",66.82377000000001,"[92.3603896103896, 62.17526004728181, 0.0, 0.0, 0.0, 0.0]",1.0457226690870394,"[1.4453442710774231, 0.9729783112779201, 0.0, 0.0, 0.0, 0.0]",63.90200000000002,"[0.03, 0.03, 0.2, 0.74]",Gq2ftjqDBmr2chN,-1.0,75.0,0.9514563106796116,0.9494949494949496,0.9504950495049505,0.8799999999999999,1.0277777777777777,0.9523809523809524,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,3.2,0.0011478420569329662,0.06353305785123965,1.0,11.0,27.74000000000001,"[27.740000000000542, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5417651309493585,"[0.5417651309493698, 0.0, 0.0, 0.0, 0.0, 0.0]","[[2, 30, -23, 26, 24, -26], [-77, 73, -11, 60, -57, 2], [-44, -40, -49, -44, 100, -98], [31, 24, -31, -144, -34, -8]]",16.74,"[16.73999999999985, 0.0, 0.0, 0.0, 0.0, 0.0]",0.32693396871277075,"[0.32693396871276914, 0.0, 0.0, 0.0, 0.0, 0.0]",51.20299999999999,"[0.2, 0.3, 0.19, 0.31]",2O9UAcifjV8B4g6,-0.8550555555555556,75.0,1.029126213592233,1.0303030303030305,1.0297029702970295,1.0666666666666669,1.0277777777777777,1.0476190476190477,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']",0.0,0.0,1.0,0.0,,
