pid,trial_type,rt,time_elapsed,cost,display_ev,problem_id,payoff_matrix,net_payoff,min_trial_secs,click_times,click_cost,payoff_value,probabilities,e_vs,payoff_index,choice_index,revealed_points,clicks,answers,correct,flag,block,trial_index,sigma,alpha
1,mouselab,42627.0,67992,0,False,KmJVF2O061O9wka,"[[-11, -24, -129, 73, -12, 131], [-9, 84, 99, 60, 60, 58], [-101, -34, -196, 51, 61, 20], [122, 78, 29, 57, -22, -2]]",-101,0.0,[],0,-101,"[0.25, 0.34, 0.19, 0.22]","[0, 0, 0, 0, 0, 0]",2,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct1,0,75,10.000000000000009
1,mouselab,9045.0,84784,0,False,ufwDOEQYZMaakNM,"[[-90, 3, 21, -139, 50, -11], [63, -14, -89, -15, -30, -69], [1, 29, 122, -49, 60, -58], [-51, -39, 57, 19, 127, -26]]",1,0.0,[],0,1,"[0.23, 0.35, 0.22, 0.2]","[0, 0, 0, 0, 0, 0]",2,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct1,1,75,10.000000000000009
1,mouselab,24936.0,117656,0,False,KQUm1G6X7S7s5dg,"[[-18, -4, -2, 31, -6, 43], [-8, 95, 91, 13, 47, 41], [-16, 1, 43, 105, -54, -15], [-4, 82, -111, -67, -25, -126]]",-15,0.0,[],0,-15,"[0.21, 0.18, 0.04, 0.57]","[0, 0, 0, 0, 0, 0]",2,5,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct1,2,75,10.000000000000009
1,mouselab,21139.0,302367,0,False,8KRi3gpD56McsmX,"[[-117, 53, 137, 116, 78, 71], [61, -44, 35, 40, -22, 71], [-55, -92, -190, -94, 112, 0], [137, -17, 52, 154, -6, -60]]",35,0.0,[],0,35,"[0.32, 0.27, 0.24, 0.17]","[0, 0, 0, 0, 0, 0]",1,2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct2,0,75,10.000000000000009
1,mouselab,5008.0,310352,0,False,m4oMFTnOfNTQA3a,"[[40, 180, 166, -33, -12, 80], [12, 104, -3, 64, 26, 93], [-101, 196, -26, 187, 84, 2], [-57, 98, -29, 89, -57, -25]]",104,0.0,[],0,104,"[0.21, 0.25, 0.26, 0.28]","[0, 0, 0, 0, 0, 0]",1,1,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,dominating,instruct2,1,75,10.000000000000009
1,mouselab,5067.0,318379,0,False,xTfqufUPmFL5ZUQ,"[[15, 33, -53, 10, 19, 3], [44, -35, -72, 78, -110, 66], [-72, -24, -11, -19, 97, -144], [20, 4, 17, 8, -51, 0]]",-72,0.0,[],0,-72,"[0.22, 0.21, 0.37, 0.2]","[0, 0, 0, 0, 0, 0]",2,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct2,2,75,10.000000000000009
1,mouselab,39720.0,360977,0,False,Im0WMVeT8ZSYAOx,"[[-90, -38, -113, -57, -21, -34], [77, 56, 77, 74, -106, -28], [-111, -163, 91, -87, -84, 4], [53, 159, -120, 8, -18, 32]]",53,0.0,"[8465, 9215, 9855, 10445, 11883, 12593, 13232, 13802, 15981, 16760, 20848, 21458, 22548, 23018, 23497, 23986, 24437, 24937, 25416, 25917, 26386, 26886, 27466, 28076]",0,53,"[0.19, 0.31, 0.33, 0.17]","[-21, -17, 12, -15, -68, -8]",3,0,"[[-90, -38, -113, -57, -21, -34], [77, 56, 77, 74, -106, -28], [-111, -163, 91, -87, -84, 4], [53, 159, -120, 8, -18, 32]]","[0, 6, 12, 18, 1, 7, 13, 19, 2, 8, 14, 20, 3, 9, 15, 21, 22, 16, 10, 4, 5, 11, 17, 23]",,,,instruct3,0,75,10.000000000000009
1,mouselab,24036.0,387257,0,False,p9FZjcojg3TSIaF,"[[-50, -41, 22, -90, 78, 110], [-18, -50, -10, -56, 18, 14], [-115, 3, -55, -51, -45, 1], [-85, -65, -1, -55, -43, 4]]",14,0.0,"[7735, 8834, 9436, 9894, 10363, 11355, 11833, 12342, 12872, 13762, 14291, 14791, 15451, 15961, 17010, 17529, 18109, 18629, 19128, 19648, 20169, 20728, 21228, 21758]",0,14,"[0.4, 0.17, 0.18, 0.25]","[-65, -41, -3, -68, 15, 48]",1,5,"[[-50, -41, 22, -90, 78, 110], [-18, -50, -10, -56, 18, 14], [-115, 3, -55, -51, -45, 1], [-85, -65, -1, -55, -43, 4]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,instruct3,1,75,10.000000000000009
1,mouselab,18666.0,408742,0,False,j7XhWAoHVlAXXAz,"[[-64, -9, 37, 18, 0, 1], [18, 7, -53, -108, 104, 123], [-24, -2, -41, 8, -9, -9], [-84, -15, 9, 38, 106, -71]]",18,0.0,"[2585, 3064, 3594, 4094, 4554, 5013, 5556, 6013, 6513, 7062, 7612, 8172, 9061, 9512, 9921, 10410, 10900, 11380, 11880, 12360, 12860, 13349, 13832, 14409]",0,18,"[0.24000000000000002, 0.15, 0.3, 0.31]","[-46, -6, -9, 2, 46, -6]",0,3,"[[-64, -9, 37, 18, 0, 1], [18, 7, -53, -108, 104, 123], [-24, -2, -41, 8, -9, -9], [-84, -15, 9, 38, 106, -71]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,instruct3,2,75,10.000000000000009
1,mouselab,15842.0,516563,0,False,tGbaq2ekRfeVMGL,"[[148, 46, -133, 61, -81, 38], [-69, 137, 87, 13, 72, 54], [79, 132, -32, 91, -16, -103], [49, 65, -15, -153, 72, 7]]",137,0.0,"[1439, 2079, 2998, 3928, 4437, 5106, 6356, 6826, 7256, 7725, 8495, 9005, 9484, 9964, 10464, 11004, 11443, 11933, 12403, 12863, 13362, 13842, 14372, 14931]",0,137,"[0.31, 0.25, 0.29, 0.15]","[59, 97, -31, 26, -1, -4]",1,1,"[[148, 46, -133, 61, -81, 38], [-69, 137, 87, 13, 72, 54], [79, 132, -32, 91, -16, -103], [49, 65, -15, -153, 72, 7]]","[6, 0, 12, 19, 13, 18, 7, 1, 2, 8, 14, 20, 21, 15, 9, 3, 4, 10, 16, 22, 23, 17, 11, 5]",,,,test,0,75,10.000000000000009
1,mouselab,16292.0,534554,0,False,dupkonpAcbSAlfm,"[[-64, 3, 99, 45, -102, -56], [66, -34, -13, 22, 240, 88], [3, -4, -16, 78, -16, 101], [-8, -2, -8, -32, 22, 17]]",88,0.0,"[1559, 2409, 3060, 3578, 4038, 4558, 5067, 5519, 5997, 6526, 7037, 7807, 8516, 8985, 9516, 10145, 10675, 11344, 11954, 12479, 13383, 13963, 14522, 15062]",0,88,"[0.2, 0.35, 0.2, 0.25]","[9, -13, 10, 24, 66, 44]",1,5,"[[-64, 3, 99, 45, -102, -56], [66, -34, -13, 22, 240, 88], [3, -4, -16, 78, -16, 101], [-8, -2, -8, -32, 22, 17]]","[6, 0, 12, 18, 19, 13, 7, 1, 2, 8, 14, 20, 21, 15, 9, 3, 4, 10, 16, 22, 23, 17, 11, 5]",,,,test,1,75,10.000000000000009
1,mouselab,13933.0,549776,0,False,CMGjVRi1gG4Q0Fu,"[[-1, -107, -67, 19, -26, 59], [23, 70, 18, 175, -84, 34], [88, -27, 58, 82, 108, 29], [16, 44, 74, 27, -4, -20]]",19,0.0,"[1349, 1868, 2399, 2869, 3378, 3828, 4357, 4847, 5237, 5756, 6346, 6916, 7395, 7866, 8366, 8834, 9335, 9854, 10404, 11263, 11663, 12153, 12633, 13092]",0,19,"[0.26, 0.22, 0.28, 0.24]","[33, -9, 21, 73, 4, 26]",0,3,"[[-1, -107, -67, 19, -26, 59], [23, 70, 18, 175, -84, 34], [88, -27, 58, 82, 108, 29], [16, 44, 74, 27, -4, -20]]","[0, 6, 12, 18, 19, 13, 7, 1, 2, 8, 14, 20, 21, 15, 9, 3, 4, 10, 16, 22, 23, 17, 11, 5]",,,,test,2,75,10.000000000000009
1,mouselab,18289.0,569525,0,False,PViw9u8Xi6g1B8d,"[[-50, 232, -5, 46, 84, 76], [-5, 3, -66, 83, 99, -148], [-40, 5, -57, 72, 6, -9], [16, 17, 49, -23, 14, 74]]",232,0.0,"[1957, 2647, 5606, 6186, 6625, 7075, 7524, 7994, 8424, 8944, 9444, 11444, 11992, 12472, 12952, 13402, 13842, 14371, 14921, 15441, 15891, 16410, 16919, 17479]",0,232,"[0.24, 0.26, 0.25, 0.25]","[-19, 62, -20, 45, 51, -4]",0,1,"[[-50, 232, -5, 46, 84, 76], [-5, 3, -66, 83, 99, -148], [-40, 5, -57, 72, 6, -9], [16, 17, 49, -23, 14, 74]]","[0, 6, 12, 18, 19, 13, 7, 1, 2, 8, 14, 20, 21, 15, 9, 3, 4, 10, 16, 22, 23, 17, 11, 5]",,,,test,3,75,10.000000000000009
1,mouselab,18270.0,590364,0,False,ty42NK9rBNfmPdU,"[[28, 55, 75, -39, -21, 29], [-77, -60, 27, -41, -17, 13], [-24, 149, -71, 71, -91, -225], [53, 102, -54, -51, -107, 93]]",-60,0.0,"[1838, 2328, 2978, 3957, 4557, 5047, 5556, 6136, 6696, 7175, 8075, 8617, 9084, 9584, 10095, 10783, 11373, 11873, 12373, 12863, 13353, 13872, 14472, 15022]",0,-60,"[0.26, 0.18, 0.21, 0.35]","[7, 70, -9, -20, -65, -5]",1,1,"[[28, 55, 75, -39, -21, 29], [-77, -60, 27, -41, -17, 13], [-24, 149, -71, 71, -91, -225], [53, 102, -54, -51, -107, 93]]","[6, 0, 18, 12, 1, 7, 13, 19, 20, 14, 8, 2, 3, 9, 15, 21, 22, 16, 10, 4, 5, 11, 17, 23]",,,,test,4,75,10.000000000000009
1,mouselab,28075.0,620703,0,False,uH8gcgWUEoa2hfm,"[[-110, -111, 7, 18, 20, -36], [-15, -77, -21, 87, -24, 20], [-24, -17, -91, 83, -97, -109], [-48, 37, -25, -70, -102, -3]]",18,0.0,"[999, 1558, 2048, 2498, 2978, 3458, 3927, 4438, 4966, 5476, 5956, 6556, 7036, 7515, 7995, 9415, 9934, 10464, 11013, 11643, 12282, 13363, 14102, 14582]",0,18,"[0.21, 0.28, 0.24, 0.27]","[-46, -39, -33, 29, -53, -29]",0,3,"[[-110, -111, 7, 18, 20, -36], [-15, -77, -21, 87, -24, 20], [-24, -17, -91, 83, -97, -109], [-48, 37, -25, -70, -102, -3]]","[0, 6, 12, 18, 19, 13, 7, 1, 2, 8, 14, 20, 21, 15, 9, 3, 4, 10, 16, 22, 23, 17, 11, 5]",,,,test,5,75,10.000000000000009
1,mouselab,26272.0,649244,0,False,iY5ihY525D06K48,"[[-45, -34, -5, 9, -41, -82], [-4, -65, -31, -8, -27, -9], [-20, 43, 47, 75, 21, 5], [-25, 15, -55, -45, -20, -11]]",75,0.0,"[1696, 2130, 2629, 3063, 3513, 3973, 4464, 5023, 5792, 6402, 6992, 7541, 8051, 8530, 9090, 9690, 10159, 10679, 11209, 11719, 12168, 12688, 13238, 13718]",0,75,"[0.15000000000000002, 0.3, 0.28, 0.27]","[-20, -9, -12, 8, -14, -17]",2,3,"[[-45, -34, -5, 9, -41, -82], [-4, -65, -31, -8, -27, -9], [-20, 43, 47, 75, 21, 5], [-25, 15, -55, -45, -20, -11]]","[0, 6, 12, 18, 19, 13, 7, 1, 2, 8, 14, 20, 21, 15, 9, 3, 4, 10, 16, 22, 23, 17, 11, 5]",,,,test,6,75,10.000000000000009
1,mouselab,9385.0,662537,0,False,pvGuxwjvCLZF4WG,"[[-48, -101, -55, -147, 94, -162], [52, 86, 94, -80, -31, -4], [-97, 25, -99, 44, 36, 19], [-69, -86, 34, -77, -49, 74]]",94,0.0,"[1429, 1919, 2448, 2918, 3418, 3879, 4338, 4867, 5317, 5827, 6367, 6846, 7336, 7937, 8415, 8895]",0,94,"[0.23, 0.4, 0.16, 0.21]","[-20, -3, 16, -75, 0, 0]",0,4,"[[-48, -101, -55, -147, 0, 0], [52, 86, 94, -80, 0, 0], [-97, 25, -99, 44, 0, 0], [-69, -86, 34, -77, 0, 0]]","[0, 6, 12, 18, 19, 13, 7, 1, 2, 8, 14, 20, 21, 15, 9, 3]",,,,test,7,75,10.000000000000009
1,mouselab,18669.0,682926,0,False,1Ay26TgLsQaGf51,"[[-114, -32, -21, 9, 82, -25], [-43, 27, -193, 13, 65, 10], [-95, 7, 39, 35, 50, -53], [32, -17, 64, -49, 55, -74]]",82,0.0,"[1218, 1667, 2157, 2669, 3217, 3697, 4158, 4676, 5206, 5746, 6325, 6935, 7424, 7875, 8405, 8885, 9733, 10233, 10983, 11602, 12162, 12712, 13282, 13851]",0,82,"[0.24, 0.27, 0.23, 0.26]","[-52, -3, -32, 1, 63, -35]",0,4,"[[-114, -32, -21, 9, 82, -25], [-43, 27, -193, 13, 65, 10], [-95, 7, 39, 35, 50, -53], [32, -17, 64, -49, 55, -74]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,test,8,75,10.000000000000009
1,mouselab,17752.0,702216,0,False,JaKarNU4ENjuDlm,"[[129, 45, -40, -61, -72, 14], [-87, -72, 105, -178, -33, 70], [166, 38, 12, 26, 85, -39], [21, -47, -32, 16, 47, -31]]",-32,0.0,"[1569, 2369, 3039, 3558, 4018, 4528, 5127, 5667, 6117, 6648, 7176, 7716, 8166, 8646, 9156, 9675, 10105, 10619, 11164, 11674, 12184, 12943, 13513, 14092]",0,-32,"[0.1, 0.38, 0.31, 0.21]","[36, -21, 33, -62, 16, 9]",3,2,"[[129, 45, -40, -61, -72, 14], [-87, -72, 105, -178, -33, 70], [166, 38, 12, 26, 85, -39], [21, -47, -32, 16, 47, -31]]","[6, 0, 12, 18, 19, 13, 7, 1, 2, 8, 14, 20, 21, 15, 9, 3, 4, 10, 16, 22, 23, 17, 11, 5]",,,,test,9,75,10.000000000000009
1,mouselab,24447.0,728762,0,False,jTpkWKNHY4CNxkr,"[[108, -192, -29, 102, -95, -8], [-59, -24, -6, -136, 102, -28], [111, -16, -121, 17, 129, 79], [59, -38, -18, 12, -67, -116]]",-59,0.0,"[1919, 2448, 2948, 3468, 3988, 4467, 5037, 6096, 6576, 7126, 7716, 8265, 8746, 9285, 9844, 10414, 10904, 11384, 11854, 12314, 12833, 13373, 13953, 14513]",0,-59,"[0.17, 0.26, 0.25, 0.32]","[50, -55, -42, -10, 21, -26]",1,0,"[[108, -192, -29, 102, -95, -8], [-59, -24, -6, -136, 102, -28], [111, -16, -121, 17, 129, 79], [59, -38, -18, 12, -67, -116]]","[0, 6, 12, 18, 19, 13, 7, 1, 2, 3, 4, 5, 11, 10, 9, 8, 14, 15, 16, 17, 23, 22, 21, 20]",,,,test,10,75,10.000000000000009
1,mouselab,15623.0,745863,0,False,qqiVbqryVLFhcXQ,"[[-111, -43, -108, 97, -18, 42], [-17, -33, 138, 29, -17, -31], [-43, 57, 79, 0, 66, 8], [-52, -17, 65, -80, -117, -80]]",138,0.0,"[1650, 2098, 2599, 3038, 3548, 4028, 4558, 5167, 5687, 6306, 6876, 7346, 7826, 8316, 9336, 9955, 10484, 10935, 11464, 12143, 12643, 13153, 13673, 14323]",0,138,"[0.18, 0.39, 0.2, 0.23]","[-47, -13, 65, 10, -24, -21]",1,2,"[[-111, -43, -108, 97, -18, 42], [-17, -33, 138, 29, -17, -31], [-43, 57, 79, 0, 66, 8], [-52, -17, 65, -80, -117, -80]]","[0, 6, 12, 18, 19, 13, 7, 1, 2, 8, 14, 20, 21, 9, 15, 3, 4, 10, 16, 22, 23, 17, 11, 5]",,,,test,11,75,10.000000000000009
1,mouselab,16511.0,764074,0,False,DtUUF6WiCh2bNtn,"[[152, 44, -8, 138, -24, -21], [118, 48, -108, -70, 40, -89], [-56, 44, -28, -23, 80, 63], [126, 221, -56, -106, -88, -27]]",48,0.0,"[2029, 3069, 3611, 4128, 4667, 5298, 5937, 6417, 6938, 7516, 8096, 8656, 9185, 9635, 10165, 10644, 11104, 11596, 12453, 12934, 13463, 13962, 14472, 15032]",0,48,"[0.2500000000000002, 0.21, 0.18, 0.36]","[98, 109, -50, -22, -15, -22]",1,1,"[[152, 44, -8, 138, -24, -21], [118, 48, -108, -70, 40, -89], [-56, 44, -28, -23, 80, 63], [126, 221, -56, -106, -88, -27]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,test,12,75,10.000000000000009
1,mouselab,24547.0,790590,0,False,uAWLa7AB2EigNyt,"[[68, -52, -12, 89, 65, 85], [57, 15, 79, 6, -91, -28], [4, 38, -29, -14, 62, -85], [54, 7, -10, -68, 44, -71]]",57,0.0,"[5836, 6316, 6786, 7547, 8075, 8585, 9134, 9671, 10155, 10644, 11134, 11643, 12163, 12603, 13113, 13632, 14102, 14582, 15081, 15541, 16041, 16521, 16971, 17400]",0,57,"[0.3, 0.12, 0.23, 0.35]","[47, -3, -4, 0, 38, -22]",1,0,"[[68, -52, -12, 89, 65, 85], [57, 15, 79, 6, -91, -28], [4, 38, -29, -14, 62, -85], [54, 7, -10, -68, 44, -71]]","[0, 6, 12, 18, 19, 13, 7, 1, 2, 8, 14, 20, 21, 15, 9, 3, 4, 10, 16, 22, 23, 17, 11, 5]",,,,test,13,75,10.000000000000009
1,mouselab,21889.0,814337,0,False,D1RZHPelpPlTsLw,"[[-16, 60, -22, -89, 20, -14], [-39, 55, 57, -40, -143, 210], [11, -90, 93, -103, -11, 43], [7, -83, -136, -50, -101, 57]]",210,0.0,"[1208, 1688, 2768, 3457, 4499, 5056, 5516, 6016, 6586, 7155, 7675, 8202, 8725, 9254, 9684, 10184, 10664, 11163, 11673, 12153, 12654, 13134, 14213, 14782]",0,210,"[0.35, 0.2, 0.27, 0.18]","[-9, -7, 4, -76, -43, 59]",1,5,"[[-16, 60, -22, -89, 20, -14], [-39, 55, 57, -40, -143, 210], [11, -90, 93, -103, -11, 43], [7, -83, -136, -50, -101, 57]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,test,14,75,10.000000000000009
1,mouselab,17991.0,833699,0,False,AcrdfSeVXGbzay3,"[[-75, 22, 17, 13, 124, 130], [90, -14, 94, -21, -68, -43], [104, -120, 81, -81, -25, 10], [2, -100, -48, 1, 34, -24]]",90,0.0,"[2948, 3818, 4348, 4857, 6196, 6756, 7286, 7906, 8456, 8986, 9465, 9974, 10504, 11034, 11514, 11983, 12433, 12914, 13473, 13982, 14482, 14973, 15472, 15952]",0,90,"[0.32, 0.18, 0.28, 0.22]","[22, -51, 34, -22, 28, 31]",1,0,"[[-75, 22, 17, 13, 124, 130], [90, -14, 94, -21, -68, -43], [104, -120, 81, -81, -25, 10], [2, -100, -48, 1, 34, -24]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,test,15,75,10.000000000000009
1,mouselab,27505.0,862782,0,False,BSzRGLphNoFr9S8,"[[77, 80, -47, -40, 39, 86], [-17, 72, -33, -112, 74, -80], [-51, -16, -19, -22, -59, -140], [29, 74, 40, 25, -95, 115]]",-16,0.0,"[1087, 1807, 2401, 2976, 3558, 4096, 4596, 5135, 5665, 6165, 6626, 7114, 7674, 8153, 8654, 9203, 9783, 10282, 10822, 11343, 11882, 12352, 12892, 13451]",0,-16,"[0.35, 0.17, 0.2, 0.28]","[22, 58, -15, -30, -12, 21]",2,1,"[[77, 80, -47, -40, 39, 86], [-17, 72, -33, -112, 74, -80], [-51, -16, -19, -22, -59, -140], [29, 74, 40, 25, -95, 115]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,test,16,75,10.000000000000009
1,mouselab,15683.0,884353,0,False,M37qiSEgNyuXj4W,"[[-62, 47, -50, -69, 124, -159], [126, 104, 73, -73, 64, -184], [-66, 77, -137, -42, 74, 25], [16, 15, -2, 107, 16, -129]]",77,0.0,"[1200, 2769, 3268, 4118, 4648, 5117, 5607, 6137, 6717, 7267, 7837, 8416, 8906, 9376, 9886, 10335, 10805, 11285, 11804, 12344, 12854, 13323, 13833, 14273]",0,77,"[0.22, 0.22, 0.25, 0.31]","[3, 57, -30, -9, 65, -109]",2,1,"[[-62, 47, -50, -69, 124, -159], [126, 104, 73, -73, 64, -184], [-66, 77, -137, -42, 74, 25], [16, 15, -2, 107, 16, -129]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,test,17,75,10.000000000000009
